QID,AcceptedAnswers,NoOfAnswers,Score,CreationDate,LOC,ReproducibiltyStatus
69702,YES,7,9,2008-09-16,7,RWMM
331953,YES,5,7,2008-12-01,7,RWMM
690028,YES,4,0,2009-03-27,44,RWMM
795685,YES,2,1,2009-04-27,7,IREP
873213,YES,4,2,2009-05-16,5,RWMM
8422950,YES,3,3,2011-12-07,20,IREP
8450343,NO,2,0,2011-12-09,73,RWM
8489034,YES,6,14,2011-12-13,10,RWM
8625903,YES,8,1,2011-12-24,63,RWM
8642932,YES,2,1,2011-12-27,5,RWMM
8644176,YES,4,25,2011-12-27,44,RWMM
8679773,YES,4,3,2011-12-30,29,RWMM
8698376,YES,5,0,2012-01-02,13,RWMM
8717306,YES,4,1,2012-01-03,70,RWM
8758752,YES,11,2,2012-01-06,20,RWM
8780223,YES,2,2,2012-01-08,17,RWMM
8805409,YES,2,1,2012-01-10,8,RWMM
8827601,YES,4,1,2012-01-11,15,RWM
8829903,NO,7,2,2012-01-12,21,RWM
8854470,YES,5,1,2012-01-13,18,RWMM
8965172,YES,6,2,2012-01-22,15,RWM
8993543,YES,2,0,2012-01-24,1,IDEF
8996045,YES,3,6,2012-01-24,4,RWM
9024739,NO,2,-2,2012-01-26,10,IREP
16755830,YES,2,-1,26-05-2013,112,IREP
16780588,NO,2,-1,27-05-2013,1,RWMM
16794798,YES,1,-1,28-05-2013,18,RWMM
16795197,YES,1,-2,28-05-2013,22,RWMM
16807688,NO,1,1,29-05-2013,30,IREP
16809266,YES,8,2,29-05-2013,11,RWMM
16824190,NO,3,1,29-05-2013,5,IREP
16839521,NO,1,-4,30-05-2013,12,IREP
16855514,YES,1,-5,31-05-2013,34,RWMM
33175848,NO,2,0,16-10-2015,19,RWM
33182862,NO,3,-2,17-10-2015,148,RWMM
49706263,NO,1,-2,7-4-2018,80,RWMJ
33183011,NO,1,1,17-10-2015,22,RWMM
33190830,NO,4,0,17-10-2015,26,RWM
33546139,NO,1,0,2015-11-05,62,IAC
33567531,NO,2,0,2015-11-06,3,RWM
33568161,NO,2,0,2015-11-06,6,RWMM
33589662,NO,1,-1,2015-11-08,69,IREP
33590164,NO,1,-5,2015-11-08,40,RWM
33590220,YES,2,0,2015-11-08,104,RWMM
33590454,YES,2,2,08-11-2015,54,RWM
33590819,NO,1,0,08-11-2015,29,RWM
17032008,NO,6,0,10-06-2013,8,RWM
17133312,NO,4,0,2013-06-16,2,RWM
17135255,NO,3,-1,2013-06-13,40,IAC
17162857,YES,3,0,2013-06-18,19,RWMM
17252726,NO,6,1,2013-06-22,28,RWM
17254417,NO,3,2,2013-06-22,13,RWM
17254453,YES,2,-2,2013-06-22,10,RWMM
24749724,NO,2,0,2014-07-15,15,IDEF
24750351,NO,4,1,2014-07-15,33,IREP
24759689,YES,2,-2,2014-07-15,23,RWM
24791073,NO,1,0,2014-07-16,15,RWM
24825213,YES,4,-1,2014-07-18,2,RWM
24837614,YES,1,1,2014-07-19,34,RWMM
24863429,YES,7,0,2014-07-21,29,RWMJ
24908020,YES,3,0,2014-07-23,8,RWM
24908860,YES,7,5,2014-07-23,7,RWMM
24923532,YES,1,1,2014-07-24,9,RWMM
24923757,YES,3,-3,2014-07-24,18,IREP
24923929,YES,6,-3,2014-07-24,16,RWM
24923955,YES,2,-1,2014-07-24,34,RWM
24959247,NO,2,0,2014-07-25,29,IREP
24974628,YES,2,-2,2014-07-26,9,IDEF
24975056,YES,1,-4,2014-07-26,1,IDEF
24975487,YES,2,-4,2014-07-26,28,RWM
24992899,NO,2,-1,2014-07-28,63,RWM
24993271,YES,2,4,2014-07-28,12,RWM
24993364,NO,2,-2,2014-07-28,19,IDEF
24995159,YES,2,2,2014-07-28,20,RWM
49522456,YES,2,1,27-03-2018,10,RWMM
49582205,YES,2,1,2014-03-30,18,IDEF
49594684,YES,4,-5,2018-04-01,15,RWM
49595323,NO,2,-3,2018-04-01,9,RWMM
49639600,YES,1,1,2018-04-03,35,RWMM
49654594,YES,1,0,2018-04-04,12,IDEF
49654853,YES,1,0,2018-04-04,31,RWMJ
49670235,NO,1,0,2018-04-05,16,IREP
49670572,NO,1,1,2018-04-05,8,RWM
49670602,NO,1,0,2018-04-05,44,RWM
49671759,NO,1,-2,2018-04-05,36,IAC
49688606,YES,4,2,2018-04-06,11,RWM
49705671,NO,2,2,2018-04-07,24,RWM
49706525,YES,3,-3,2018-04-07,12,RWMM
49706533,NO,1,-3,2018-04-07,23,IREP
49724303,YES,1,2,2018-04-09,28,IAC
49761996,YES,1,4,2018-04-10,24,RWM
49783627,YES,1,1,2018-04-11,34,RWM
49783701,YES,1,1,2018-04-11,75,IREP
49828126,NO,2,0,2018-04-14,9,RWM
49829401,NO,3,0,2018-04-14,6,IDEF
49852356,YES,2,0,2018-04-16,16,IREP
49901345,NO,3,0,2018-04-18,6,RWMM
49903290,NO,1,-1,2018-04-18,10,IAC
49927656,NO,1,-4,2018-04-19,21,IDEF
49956377,NO,1,0,2018-04-21,4,IREP
49982821,NO,4,4,2018-04-23,7,IREP
49983237,YES,1,1,2018-04-23,23,IREP
50012656,NO,3,-1,2018-04-25,4,IAC
50013898,YES,2,-1,2018-04-25,39,IREP
57638934,NO,2,1,2019-08-24,32,IREP
57693829,YES,3,-2,2019-08-28,26,RWM
57739291,NO,5,-1,2019-08-31,23,RWM
57751849,NO,1,0,2019-09-02,45,RWM
57764912,YES,2,1,2019-09-03,18,RWM
33591387,NO,1,-1,08-11-2015,58,IREP
33591750,NO,2,2,2015-11-08,24,RWMM
41275467,YES,2,0,22-12-2016,17,RWMJ
33614361,YES,1,-2,09-11-2015,37,RWM
33639413,NO,1,2,10-11-2015,13,RWM
33639769,YES,3,1,10-11-2015,40,RWM
33640104,NO,1,1,10-11-2015,21,RWM
33664326,YES,1,-3,12-11-2015,1,IREP
33664774,YES,1,1,2015-11-12,6,IAC
33720218,NO,2,-1,2015-11-15,18,IAC
33721690,YES,3,3,2015-11-15,11,RWM
33782022,YES,3,2,2015-11-18,25,RWMM
33782392,NO,4,-22,2015-11-18,30,RWM
33814244,NO,1,-4,2015-11-19,32,RWMM
33814910,YES,2,1,2015-11-19,18,RWMM
33816140,YES,3,0,2015-11-19,48,RWM
33817836,NO,1,-3,2015-11-20,53,IREP
33853629,YES,2,-2,2015-11-22,37,IREP
41277460,YES,4,3,2016-12-22,19,RWMM
41301484,YES,1,8,2016-12-23,3,RWM
41310213,NO,1,-3,2016-12-24,7,IREP
41330658,YES,1,-1,2016-12-26,14,RWMM
58263759,NO,3,-3,07-10-2019,9,IREP
33638947,YES,1,0,10-11-2015,48,RWMJ
58262687,NO,2,-1,07-10-2019,70,RWM
58262674,NO,0,1,07-10-2019,42,RWM
58137994,YES,0,1,27-09-2019,16,RWM
57887459,YES,1,-1,11-09-2019,7,RWM
49482942,NO,3,0,26-03-2018,23,RWM
49482888,NO,2,0,26-03-2018,117,RWMM
